ds,yhat,yhat_lower,yhat_upper
2024-04-10,307.66435683025514,272.5220063294002,344.381281755741
2024-10-09,57.33301902946849,19.513681939701893,93.64534744357027
2025-04-03,162.99279390130835,124.33550566436405,199.91017599085876
2025-04-08,518.4157194410004,482.94392099871925,555.7657418338621
2025-11-04,229.57186850743142,188.90535255073632,265.4769880091782
2025-11-05,-481.84216965486115,-520.2257198832414,-445.4446349976255
2025-11-06,-135.47918539364474,-172.0101881967171,-98.79832005384293
2025-11-07,-972.3324011247728,-1009.337526153378,-936.0748641077115
2025-11-08,-973.7073988513638,-1010.4284995997397,-937.9290236715121
2025-11-09,-975.0830032384993,-1012.3341181289937,-936.8016494524343
2025-11-10,-976.4578243593087,-1014.7605608685565,-938.624021457942
2025-11-11,219.94374014257107,183.65803301785638,258.2720229044562
2025-11-12,-491.470298018038,-528.7043146745697,-454.71353997743677
2025-11-13,-145.107313757165,-179.46692888294945,-107.9975221979941
2025-11-14,-981.9605294912226,-1019.1596009615091,-945.289485545773
2025-11-15,-983.3355272165887,-1020.5217191488979,-946.7246461757219
2025-11-16,-984.7111316022173,-1022.1770345203383,-945.4130960909157
2025-11-17,-986.0859527217494,-1021.6045786177168,-951.2587786282074
2025-11-18,210.31561177862864,174.94092523274574,245.33373911542503
2025-11-19,-501.0984263828969,-539.3094195022957,-463.29427091787204
2025-11-20,-154.73544212220344,-191.48726935259575,-118.58872222037083
2025-11-21,-991.5886578528953,-1030.8304057193716,-956.978951402624
2025-11-22,-992.9636555818134,-1030.4229506681297,-958.3216967395463
2025-11-23,-994.3392599685867,-1028.5182610715754,-957.4105033809489
2025-11-24,-995.7140810886451,-1033.779221917103,-959.4181307270411
2025-11-25,200.68748341376806,166.8297269137854,238.58704276909052
2025-11-26,-510.7265547474293,-548.3096602759323,-473.8255342458783
2025-11-27,-164.36357048724216,-204.9514641692456,-126.61857845062582
2025-11-28,-1001.2167862193451,-1036.7658288299847,-966.1583651410492
2025-11-29,-1002.5917839461114,-1040.8150630744044,-969.0293398062613
2025-11-30,-1003.9673883349562,-1040.0211895802465,-965.9184784741731
2025-12-01,-1005.3422094530665,-1041.5237044419914,-969.0255130884618
2025-12-02,191.05935505074365,156.73154013819317,228.5510269459771
2025-12-03,-520.3546831119615,-559.1631565727521,-483.21858997600697
2025-12-04,-173.99169885077373,-210.33145396686797,-137.05787123966945
