ds,yhat,yhat_lower,yhat_upper
2024-02-11,457.00217627685794,457.0021762594,457.00217629398577
2024-12-11,274.99872344818266,274.99872343130147,274.9987234656682
2025-03-03,350.00176307490386,350.0017630573317,350.00176309129887
2025-06-01,469.0021980031138,469.00219798820353,469.0021980214454
2025-07-05,455.0008841335852,455.0008841174463,455.0008841519887
2025-07-06,469.8845525576436,469.8845525388478,469.88455257473953
2025-07-07,353.1782391916415,353.17823917328167,353.1782392083103
2025-07-08,477.89694007210176,477.8969400560245,477.8969400905683
2025-07-09,280.2928507775874,280.2928507606262,280.29285079558485
2025-07-10,-897.1924201973758,-897.1924202156853,-897.1924201800224
2025-07-11,-211.2975277424626,-211.297527760881,-211.2975277238258
2025-07-12,455.17735504243615,455.1773550238094,455.17735506092157
2025-07-13,470.0610234710001,470.06102345312735,470.0610234893198
2025-07-14,353.35471010318247,353.35471008393574,353.3547101214932
2025-07-15,478.07341098394477,478.07341096607723,478.07341100232236
2025-07-16,280.4693216880944,280.46932166956765,280.4693217080603
2025-07-17,-897.0159492849365,-897.015949304648,-897.0159492666049
2025-07-18,-211.1210568307409,-211.12105685036803,-211.1210568110924
2025-07-19,455.3538259551633,455.353825935715,455.3538259758293
2025-07-20,470.2374943804127,470.2374943598074,470.2374944027022
2025-07-21,353.5311810136244,353.53118099355606,353.5311810331423
2025-07-22,478.2498818949821,478.24988187520097,478.24988191524744
2025-07-23,280.6457926021987,280.64579258291366,280.6457926229911
2025-07-24,-896.8394783742026,-896.8394783945415,-896.8394783535074
2025-07-25,-210.94458591901943,-210.94458593937475,-210.94458589988298
2025-07-26,455.5302968658558,455.5302968448554,455.5302968878288
2025-07-27,470.4139652921739,470.413965271065,470.41396531503506
2025-07-28,353.70765192435675,353.70765190176775,353.7076519472849
2025-07-29,478.4263528060195,478.42635278526205,478.4263528293341
2025-07-30,280.8222635134114,280.82226349047556,280.82226353648537
2025-07-31,-896.6630074631291,-896.6630074830297,-896.6630074394567
2025-08-01,-210.76811500663902,-210.76811502944125,-210.76811498345447
2025-08-02,455.7067677775657,455.70676775342866,455.7067678027082
2025-08-03,470.59043620393527,470.5904361825693,470.59043623035285
2025-08-04,353.88412283479886,353.88412281118855,353.8841228622014
