ds,yhat,yhat_lower,yhat_upper
2025-01-05,278.00213655938205,278.0021365492384,278.00213656996647
2025-02-02,231.00213780323793,231.00213779287975,231.00213781377545
2025-03-04,131.99808727057916,131.99808726049105,131.9980872802294
2025-06-02,619.0136424660113,619.0136424560847,619.0136424758521
2025-12-03,22.02439167175362,22.02439166168499,22.024391682056176
2025-12-04,-12653.772402201343,-12653.772402211882,-12653.772402191671
2025-12-05,-4191.234692840974,-4191.23469285144,-4191.23469283035
2025-12-06,-21999.819190271046,-21999.819190281207,-21999.81919026075
2025-12-07,-285.99784976377487,-285.99784977409143,-285.9978497528204
2025-12-08,301.7636500750923,301.76365006416864,301.76365008590255
2025-12-09,-338.00190144537373,-338.001901455548,-338.0019014347562
2025-12-10,10.27439197239255,10.274391962121355,10.274391984101095
2025-12-11,-12665.522401898907,-12665.522401910364,-12665.522401887501
2025-12-12,-4202.984692562845,-4202.98469257467,-4202.984692551972
2025-12-13,-22011.56918996471,-22011.56918997705,-22011.56918995318
2025-12-14,-297.74784948232445,-297.74784949451146,-297.7478494705519
2025-12-15,290.01365031797104,290.0136503052525,290.0136503301689
2025-12-16,-349.7519011807308,-349.7519011944616,-349.7519011683833
2025-12-17,-1.47560778478055,-1.4756077967118715,-1.4756077716098281
2025-12-18,-12677.272401626695,-12677.272401639984,-12677.272401612832
2025-12-19,-4214.7346922847155,-4214.734692298255,-4214.734692270692
2025-12-20,-22023.319189694877,-22023.31918970974,-22023.31918968095
2025-12-21,-309.4978492497521,-309.4978492641596,-309.4978492347274
2025-12-22,278.2636505608489,278.26365054592253,278.26365057605216
2025-12-23,-361.5019008601448,-361.50190087390934,-361.50190084397343
2025-12-24,-13.225607446317554,-13.22560746114071,-13.225607428305151
2025-12-25,-12689.022401354483,-12689.022401369988,-12689.022401336033
2025-12-26,-4226.484691979278,-4226.484691994491,-4226.4846919600495
2025-12-27,-22035.0691894068,-22035.069189422426,-22035.069189385922
2025-12-28,-321.2478489287687,-321.24784894556365,-321.24784890326833
2025-12-29,266.5136508567102,266.51365083919245,266.51365088374644
2025-12-30,-373.25190059550096,-373.2519006148273,-373.25190056546813
2025-12-31,-24.975607203487016,-24.975607223890783,-24.97560716395886
2026-01-01,-12700.772401068598,-12700.77240109114,-12700.772401017768
2026-01-02,-4238.234691701149,-4238.23469173171,-4238.234691642315
