ds,yhat,yhat_lower,yhat_upper
2024-10-11,361.99966411140826,361.99966406186223,361.99966415778204
2025-03-04,381.00047932129087,381.0004792778153,381.00047937073043
2025-05-01,55.00048646811358,55.000486421292415,55.00048651537274
2025-05-08,16.00048842868324,16.00048838168179,16.00048847424315
2025-08-04,176.00120558167953,176.00120553963595,176.00120562947023
2025-09-06,56.00107800333683,56.0010779548912,56.00107804781441
2025-09-07,99.0009194100885,99.0009193636833,99.00091945711208
2025-09-08,-18.998785709691333,-18.998785754547036,-18.998785662372963
2025-09-09,-671.9994833404196,-671.9994833849062,-671.999483291549
2025-09-10,-3112.457682569902,-3112.4576826178354,-3112.457682522061
2025-09-11,-685.9994801885478,-685.9994802361178,-685.9994801379239
2025-09-12,-1510.0003033957753,-1510.0003034432075,-1510.0003033470202
2025-09-13,17.001079739658735,17.00107968998612,17.00107979530021
2025-09-14,60.000921154553794,60.00092110305949,60.00092121014389
2025-09-15,-57.99878396571387,-57.99878401573461,-57.998783913110735
2025-09-16,-710.9994815981162,-710.9994816491509,-710.9994815425907
2025-09-17,-3151.457680825633,-3151.457680877422,-3151.4576807704857
2025-09-18,-724.9994784453219,-724.9994785059423,-724.9994783852026
2025-09-19,-1549.0003016554556,-1549.0003017130914,-1549.000301596675
2025-09-20,-21.998918515113928,-21.998918570939875,-21.998918455057996
2025-09-21,21.000922899018747,21.00092283694483,21.000922964791155
2025-09-22,-96.99878221911808,-96.99878228659891,-96.99878215881591
2025-09-23,-749.9994798604586,-749.9994799298669,-749.9994797946499
2025-09-24,-3190.457679085936,-3190.4576791567456,-3190.4576790150168
2025-09-25,-763.9994767020954,-763.9994767736251,-763.9994766348498
2025-09-26,-1588.0002999086644,-1588.0002999809376,-1588.0002998308123
2025-09-27,-60.99891677348808,-60.99891685958915,-60.99891669367284
2025-09-28,-17.999075362837175,-17.999075455810193,-17.999075268838777
2025-09-29,-135.99878048469645,-135.99878058492826,-135.99878038841092
2025-09-30,-788.9994781228011,-788.999478259271,-788.9994780106458
2025-10-01,-3229.4576773415533,-3229.4576774947163,-3229.4576772277073
2025-10-02,-802.9994749588691,-802.9994751722375,-802.999474832846
2025-10-03,-1627.0002981683451,-1627.0002984101332,-1627.0002980151605
2025-10-04,-99.99891502655885,-99.9989153755398,-99.99891482036583
2025-10-05,-56.999073612050324,-56.99907399510691,-56.99907336734581
2025-10-06,-174.998778740719,-174.9987791988651,-174.9987784663881
2025-10-07,-827.9994763758503,-827.9994768518964,-827.9994760607437
