ds,yhat,yhat_lower,yhat_upper
2024-01-10,63.00287165201337,63.00287164422113,63.00287166049043
2024-02-11,237.9992307998994,237.99923079193522,237.9992308079976
2024-07-11,191.99992293818445,191.9999229300801,191.9999229465712
2025-01-03,499.00234924222843,499.0023492340868,499.00234925052234
2025-05-09,15.00227640447963,15.002276396321442,15.002276412195089
2025-10-07,482.0015154695511,482.00151546188283,482.00151547761953
2025-12-01,207.00253255193434,207.00253254436416,207.00253256020372
2025-12-02,266.8903722314783,266.89037222369194,266.8903722406761
2025-12-03,-2573.60847963095,-2573.6084796392124,-2573.6084796226246
2025-12-04,-1770.8747626973905,-1770.8747627054959,-1770.874762688692
2025-12-05,-791.6645107100812,-791.664510718471,-791.6645107017586
2025-12-06,-5723.968819936217,-5723.968819944067,-5723.968819927575
2025-12-07,-2297.377063668094,-2297.3770636769514,-2297.377063660202
2025-12-08,180.1136396504735,180.1136396416701,180.1136396584252
2025-12-09,240.00147933696053,240.001479327336,240.00147934578052
2025-12-10,-2600.4973725319423,-2600.4973725415443,-2600.4973725232417
2025-12-11,-1797.7636555953343,-1797.7636556042462,-1797.7636555861613
2025-12-12,-818.5534036152865,-818.5534036251637,-818.5534036069938
2025-12-13,-5750.857712843169,-5750.857712851889,-5750.857712834049
2025-12-14,-2324.265956569445,-2324.2659565783074,-2324.265956560897
2025-12-15,153.2247467442146,153.2247467347526,153.224746753588
2025-12-16,213.11258642883763,213.11258641919815,213.11258643755406
2025-12-17,-2627.3862654419654,-2627.3862654511954,-2627.3862654328404
2025-12-18,-1824.6525484995755,-1824.6525485081806,-1824.6525484900303
2025-12-19,-845.4422965204919,-845.4422965304725,-845.4422965103117
2025-12-20,-5777.746605747716,-5777.7466057576,-5777.746605737801
2025-12-21,-2351.154849488646,-2351.154849498199,-2351.1548494785443
2025-12-22,126.33585383795548,126.33585382764991,126.33585384750901
2025-12-23,186.2236935273654,186.22369351857856,186.22369353671698
2025-12-24,-2654.2751583376175,-2654.275158346966,-2654.275158327347
2025-12-25,-1851.5414414038155,-1851.5414414143156,-1851.5414413937604
2025-12-26,-872.3311894146022,-872.3311894251566,-872.3311894037273
2025-12-27,-5804.635498653464,-5804.635498665146,-5804.635498642785
2025-12-28,-2378.043742388002,-2378.0437423975054,-2378.0437423766707
2025-12-29,99.44696093649554,99.4469609255542,99.44696094735512
2025-12-30,159.33480061924342,159.33480060828472,159.33480063012505
2025-12-31,-2681.1640512476406,-2681.1640512582367,-2681.164051236838
